Key:
+,"Pro-environment vote"
-,"Anti-environment vote"
?,"Missed vote"
n/a,"Not applicable"
" "
District,Party,"Member of Congress","2019 Score","Lifetime Score","Stopping Border Wall Funding (9)","Public Lands Package (95)","Protecting Our Democracy (118)","For the People Act (118)","Recognizing the Need for Climate Justice (175)","Addressing Climate Change’s Damages (181)","Climate Action Now Act (184)","Keeping America’s Commitment to the Paris Climate Agreement (184)","Protecting Dreamers and Immigrants Fleeing Disasters (240)","Halting Withdrawal from the Paris Climate Agreement (336)","Ignoring the Costs of Climate Change (362)","Blocking the Use of the Social Cost of Carbon in Agency Rules (362)","Halting Permitting of Pebble Mine in Alaska (363)","Blocking the Disastrous Pebble Mine (363)","Boosting Clean Energy and Climate Funding (367)","FY20 Energy, Water, and other Departments Funding Bill (367)","Blocking Protections for Endangered Whales (372)","Halting Oil and Gas Drilling off Florida’s Coasts (378)","Banning Oil and Gas Drilling off the Atlantic Coast (379)","Blocking Import Permits for Sport-Hunted Elephant and Lion Parts (380)","Stopping Carbon Pollution Limits for Power Plants (381)","Stopping the Clean Power Plan and Carbon Pollution Limits for New Power Plants (381)","Blocking Taxpayer-Subsidized Roadbuilding for Industrial Logging in the Tongass National Forest (382)","Blocking Logging in the Tongass National Forest (382)","Blocking EPA from Carrying Out Endangerment Finding for CO2 (383)","Blocking the EPA from Reducing Carbon Pollution (383)","Halting Oil Drilling in the Arctic Refuge (384)","Blocking EPA Enforcement of Methane Rules (385)","Methane Pollution Safeguards (385)","Eliminating EPA’s Chemical Hazard Assessment Program, IRIS (390)","Eliminating EPA's Chemical Hazard Assessment Program, IRIS (390)","Stopping Oil and Gas Exploration off the Atlantic Coast (391)","Banning Oil and Gas Exploration off the Pacific Coast (393)","Preserving the Mercury & Air Toxics Standards (395)","Halting the Trump Administration from Undermining the Mercury and Air Toxics Standards (395)","Pro-Environment Funding Bill (408)","FY20 Interior, Environment and related Agencies Funding Bill (408)","Ending Harmful Limits on Government Funding (511)","Permanently Extending the Moratorium on Drilling in the Eastern Gulf of Mexico (521)","Stopping Future Drilling in the Eastern Gulf of Mexico (521)","Banning Offshore Drilling in the Atlantic and Pacific Oceans (525)","Restoring Protections for the Arctic Refuge (530)","Protecting Chaco Canyon from Oil and Gas Development   (597)","Protecting Chaco Canyon from Oil and Gas Development (597)","Protecting the Grand Canyon from Toxic Uranium Mining (602)","Protecting Colorado's Public Lands (609)","Shark Finning Ban (634)","Protecting the Right to Vote (654)","Attack on Marine Mammal Protections from Harmful Air Gun Blasting (666)","USMCA Trade Deal (701)"
AZ-07,D,"Gallego, Ruben",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
AZ-08,R,"Lesko, Debbie",3,2,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
AZ-09,D,"Stanton, Greg",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
WY-AL,R,"Cheney, Liz",3,1,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,?,,+,,-,,,,-,-,-,-,-,-,-
GA-01,R,"Carter, Buddy",17,3,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,+,-
GA-02,D,"Bishop, Sanford",93,53,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,-,,+,+,,+,,+,-,-,+,,+,,+,,+,,,,+,+,+,,+,+,-
GA-03,R,"Ferguson, A.",7,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,+,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
GA-04,D,"Johnson, Hank",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
GA-05,D,"Lewis, John",90,92,,?,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,?,+,+,-
GA-06,D,"McBath, Lucy",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
GA-07,R,"Woodall, Rob",10,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
GA-08,R,"Scott, Austin",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
GA-09,R,"Collins, Doug",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
GA-10,R,"Hice, Jody",0,0,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,,,,-,-,-,-
GA-11,R,"Loudermilk, Barry",7,1,,+,-,-,?,?,,?,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,?,-,-,-,-
GA-12,R,"Allen, Rick",7,1,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
GA-13,D,"Scott, David",97,83,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
GA-14,R,"Graves, Tom",7,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,?,?,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,+,-
MD-01,R,"Harris, Andy",0,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,+,+,-,-,,,-,,-,-,,-,,-,+,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
MD-02,D,"Ruppersberger, C.A. Dutch",97,88,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MD-03,D,"Sarbanes, John",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MD-04,D,"Brown, Anthony",97,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
MD-05,D,"Hoyer, Steny",97,82,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MD-06,D,"Trone, David",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
MD-07,D,"Cummings, Elijah",100,92,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,,,,,,,
MD-08,D,"Raskin, Jamie",100,99,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
TX-01,R,"Gohmert, Louie",3,4,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TX-02,R,"Crenshaw, Dan",10,10,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
TX-03,R,"Taylor, Van",7,7,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,+,-,-,+,,-,,-,,-,,,,-,-,-,-,-,-,-
TX-04,R,"Ratcliffe, John",7,1,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TX-05,R,"Gooden, Lance",7,7,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,+,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,?,-
TX-06,R,"Wright, Ron",7,7,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
TX-07,D,"Fletcher, Lizzie",79,79,,+,+,+,+,+,,+,+,+,+,,,-,+,,+,-,-,+,+,,,+,,+,-,,+,,+,-,-,+,,+,,+,,-,,,,+,+,+,+,+,+,-
TX-08,R,"Brady, Kevin",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,?,-,-,-,-
TX-09,D,"Green, Al",97,86,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-10,R,"McCaul, Michael",21,6,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,+,,-,,+,,-,,,,-,-,-,+,-,+,-
TX-11,R,"Conaway, K. Michael",7,2,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
TX-12,R,"Granger, Kay",10,5,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
TX-13,R,"Thornberry, Mac",3,2,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,?,,+,,-,,,,-,-,-,-,-,-,-
TX-14,R,"Weber, Randy",3,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TX-15,D,"Gonzalez, Vicente",86,77,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,-,-,+,+,,,+,,+,-,,+,,+,+,-,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-16,D,"Escobar, Veronica",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-17,R,"Flores, Bill",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,?,-,-,-
TX-18,D,"Jackson Lee, Sheila",93,82,,+,+,+,+,?,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-19,R,"Arrington, Jodey",7,2,,-,-,-,?,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
TX-20,D,"Castro, Joaquin",93,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-21,R,"Roy, Chip",0,0,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TX-22,R,"Olson, Pete",7,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
TX-23,R,"Hurd, Will",28,10,,+,-,-,-,-,,-,+,-,-,,,-,-,,+,-,-,-,-,,,-,,+,-,,-,,+,-,-,+,,-,,+,,-,,,,-,-,-,+,-,-,-
TX-24,R,"Marchant, Kenny",3,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,?,-,-
TX-25,R,"Williams, Roger",0,1,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TX-26,R,"Burgess, Michael",10,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,+,-,-,+,-,-,-
TX-27,R,"Cloud, Michael",0,0,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
TX-28,D,"Cuellar, Henry",79,45,,+,+,+,+,+,,+,+,+,+,,,-,+,,+,-,-,+,+,,,+,,+,-,,+,,+,-,-,+,,+,,+,,-,,,,+,+,+,+,+,+,-
TX-29,D,"Garcia, Sylvia",90,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,-,-,+,+,,,+,,+,+,,+,,+,-,-,+,,+,,+,,-,,,,+,+,+,+,+,+,-
TX-30,D,"Johnson, Eddie Bernice",97,86,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-31,R,"Carter, John",3,4,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,?,-,-,-
TX-32,D,"Allred, Colin",93,93,,+,+,+,+,+,,+,+,+,+,,,-,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-33,D,"Veasey, Marc",97,89,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,-,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-34,D,"Vela, Filemon",86,75,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,-,-,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,-,,,,+,+,+,+,+,+,-
TX-35,D,"Doggett, Lloyd",97,97,,+,+,+,+,+,,+,+,?,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
TX-36,R,"Babin, Brian",7,2,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
MT-AL,R,"Gianforte, Greg",3,5,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
AK-AL,R,"Young, Don",10,8,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,+,-,-,-,-,-,-
CO-01,D,"DeGette, Diana",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CO-02,D,"Neguse, Joe",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CO-03,R,"Tipton, Scott",7,7,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,+,-,-,-
CO-04,R,"Buck, Ken",0,3,,-,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
CO-05,R,"Lamborn, Doug",7,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
CO-06,D,"Crow, Jason",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CO-07,D,"Perlmutter, Ed",97,87,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
ND-AL,R,"Armstrong, Kelly",10,10,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
IL-01,D,"Rush, Bobby",97,80,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-02,D,"Kelly, Robin",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-03,D,"Lipinski, Dan",97,91,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
IL-04,D,"García, Jesús",100,100,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
IL-05,D,"Quigley, Mike",97,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-06,D,"Casten, Sean",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-07,D,"Davis, Danny",97,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-08,D,"Krishnamoorthi, Raja",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,-,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-09,D,"Schakowsky, Jan",97,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-10,D,"Schneider, Brad",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-11,D,"Foster, Bill",97,94,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-12,R,"Bost, Mike",10,5,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
IL-13,R,"Davis, Rodney",17,7,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
IL-14,D,"Underwood, Lauren",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-15,R,"Shimkus, John",10,6,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,+,-,-,,-,,-,,-,,,,-,-,-,-,?,-,?
IL-16,R,"Kinzinger, Adam",14,7,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,-,,+,,-,,,,-,-,-,+,?,-,-
IL-17,D,"Bustos, Cheri",97,89,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IL-18,R,"LaHood, Darin",7,1,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,+,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
NM-01,D,"Haaland, Debra",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NM-02,D,"Torres Small, Xochitl",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
NM-03,D,"Lujan, Ben Ray",97,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
UT-01,R,"Bishop, Rob",3,2,,+,-,-,-,-,,-,-,-,-,,,-,-,,?,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
UT-02,R,"Stewart, Chris",3,3,,+,-,-,-,-,,-,-,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
UT-03,R,"Curtis, John",3,2,,+,-,-,-,-,,-,-,?,?,,,?,?,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,?,-,-,-,-,-,-
UT-04,D,"McAdams, Ben",86,86,,+,+,+,+,+,,+,+,+,+,,,+,-,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,-,,-,,+,,,,+,+,-,+,+,+,-
OR-01,D,"Bonamici, Suzanne",97,98,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
OR-02,R,"Walden, Greg",21,10,,+,-,-,-,+,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,+,-,,-,,+,-,-,-,,-,,+,,-,,,,-,-,-,+,-,-,-
OR-03,D,"Blumenauer, Earl",93,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,?,,+,,-,,+,,,,+,+,+,+,+,+,-
OR-04,D,"DeFazio, Peter",97,92,,?,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,+
OR-05,D,"Schrader, Kurt",93,72,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,-,,+,+,,+,,+,+,+,+,,+,,-,,+,,,,+,+,+,+,+,+,-
CT-01,D,"Larson, John",96,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,,+,-
CT-02,D,"Courtney, Joe",93,96,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CT-03,D,"DeLauro, Rosa",97,95,,+,+,+,+,+,,+,+,?,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CT-04,D,"Himes, Jim",97,95,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
CT-05,D,"Hayes, Jahana",97,97,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
AR-01,R,"Crawford, Rick",7,5,,+,?,?,?,?,,?,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
AR-02,R,"Hill, French",10,5,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,+,-,-,-,-,-,-
AR-03,R,"Womack, Steve",7,4,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,-,-,-,-,-,-,-
AR-04,R,"Westerman, Bruce",3,1,,+,-,-,-,-,,-,-,?,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OK-01,R,"Hern, Kevin",3,3,,-,-,-,-,-,,-,?,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OK-02,R,"Mullin, Markwayne",0,1,,-,-,-,-,-,,-,?,-,-,,,-,-,,-,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
OK-03,R,"Lucas, Frank",7,5,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,+,-,-,-,,?,,+,,-,,,,-,-,-,-,-,-,-
OK-04,R,"Cole, Tom",17,7,,+,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,+,,-,,,,+,+,-,+,-,-,-
OK-05,D,"Horn, Kendra",93,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IA-01,D,"Finkenauer, Abby",93,93,,+,+,+,+,+,,+,+,+,+,,,+,+,,-,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IA-02,D,"Loebsack, Dave",97,90,,+,+,+,+,+,,+,+,+,+,,,+,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IA-03,D,"Axne, Cynthia",93,93,,+,+,+,+,+,,+,+,+,+,,,-,+,,+,+,+,+,+,,,+,,+,+,,+,,+,+,+,+,,+,,+,,+,,,,+,+,+,+,+,+,-
IA-04,R,"King, Steve",3,4,,-,-,-,-,-,,-,-,-,-,,,-,-,,+,-,-,-,-,,,-,,-,-,,-,,-,-,-,-,,-,,-,,-,,,,-,-,-,-,-,-,-
